job_title,rating,company_name,industry,old title,salary_lower,salary_upper,salary,City,State,max_emp_size,min_emp_size,company_age,python,excel,hadoop,spark,aws,tableau,big_data,numpy,pandas,machine_learning,power_bi,sql,deep_learning
data scientist,2.7,1-800-Flowers,Wholesale,Data Scientist,212,331,377.5,New York,NY,5000,1001,45,1,1,0,0,0,1,0,0,0,0,0,1,0
data scientist,3.5,Aptive,Consulting,Data Scientist,212,331,377.5,Washington,DC,200,51,9,1,1,0,0,0,1,0,0,0,1,1,1,0
data scientist,4.9,The Mom Project,Staffing & Outsourcing,Data Scientist - Image and Video Analytics,66,112,122.0,Longmont,CO,50,1,5,1,0,1,1,1,0,0,0,0,1,0,0,1
data scientist,3.6,Powertek,IT Services,Data Scientist,66,112,122.0,Washington,DC,200,51,20,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,5.0,JCD Staffing,Unknown,Data Scientist,66,112,122.0,Washington,DC,50,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
data scientist,3.1,Bayside Solutions,Staffing & Outsourcing,Data Scientist,66,112,122.0,Sunnyvale,CA,50,1,20,1,1,0,0,0,1,0,0,0,0,0,1,0
senior data engineer,3.9,Thumbtack,Internet,Senior Data Engineer,66,112,122.0,San Francisco,CA,1000,501,12,1,1,0,0,1,0,0,0,0,0,0,0,0
data scientist,3.4,"MILVETS Systems Technology, Inc.",IT Services,Data Scientist,66,112,122.0,Patuxent,Anne Arundel,200,51,35,0,1,0,0,0,0,0,0,0,1,0,0,0
machine learning engineer,4.1,Apple,Computer Hardware & Software,Machine Learning Scientist / Engineer,66,112,122.0,Santa Clara,CA,10000,10000,45,0,0,0,0,0,0,0,0,0,1,0,0,1
data scientist,4.1,Kforce,Staffing & Outsourcing,Data Scientist,66,112,122.0,Fairfax,VA,10000,10000,55,0,0,0,0,0,0,0,0,0,1,0,0,0
senior data scientist,3.5,Evolve Vacation Rental,Travel Agencies,Sr. Data Scientist,66,112,122.0,Denver,CO,500,201,10,1,0,0,0,0,0,0,0,0,1,0,1,0
senior data analyst,4.3,The Buffalo Group,IT Services,"Intelligence Data Analyst, Senior",66,112,122.0,Fort Belvoir,VA,1000,501,11,1,0,0,0,0,0,0,0,0,0,0,0,0
data analyst,4.4,OppLoans,Lending,Data Science Analyst,66,112,122.0,Chicago,IL,500,201,9,1,0,0,0,0,0,0,0,0,1,0,1,0
data scientist,3.8,AgreeYa Solutions,IT Services,Data Scientist,66,112,122.0,Thousand Oaks,CA,5000,1001,22,1,1,0,0,0,0,0,0,0,1,0,1,0
data scientist,3.7,Carolina Power & Light Co,Energy,Data Scientist,66,112,122.0,McLean,VA,10000,5001,113,1,1,0,0,0,0,0,0,0,1,0,1,0
data engineer,3.9,Southwest Research Institute,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,66,112,122.0,San Antonio,TX,5000,1001,74,1,1,0,0,0,0,0,0,0,0,0,1,0
data scientist,3.9,Brillient,IT Services,Data Scientist,66,112,122.0,Silver Spring,MD,1000,501,15,1,1,0,0,0,0,0,0,0,1,0,0,0
data modeler (analytical systems),3.7,MassMutual,Insurance Carriers,Data Modeler (Analytical Systems),66,112,122.0,Boston,MA,10000,5001,170,0,1,1,1,0,0,0,0,0,0,0,1,0
data scientist,2.9,Xator Corporation,IT Services,Data Scientist,66,112,122.0,Washington,DC,1000,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,4.6,HAN IT Staffing Inc.,IT Services,Data Scientist,66,112,122.0,New York,NY,200,51,9,1,1,0,0,0,0,0,0,0,1,0,1,0
data scientist,3.4,Infinitive Inc,Enterprise Software & Network Solutions,Data Scientist,66,112,122.0,McLean,VA,500,201,24,1,1,1,1,1,0,0,0,0,1,0,1,0
data engineer,4.0,Travelers,Insurance Carriers,"Data Engineer (Analytics, SQL, Python, AWS)",66,112,122.0,Hartford,CT,10000,10000,168,1,0,0,1,1,0,0,0,0,0,0,1,0
data scientist,3.3,Amyris,Biotech & Pharmaceuticals,Data Scientist 3 (718),128,201,228.5,Emeryville,CA,500,201,18,1,0,0,0,1,0,0,0,0,1,0,0,0
data scientist,4.3,Lightspeed Systems,Computer Hardware & Software,Data Scientist,128,201,228.5,Austin,TX,200,51,22,1,0,0,1,1,0,0,0,0,1,0,1,1
senior data scientist,3.9,Thumbtack,Internet,Senior Data Scientist,128,201,228.5,San Francisco,CA,1000,501,12,1,1,1,1,0,0,0,0,0,1,0,0,0
senior data analyst,3.6,Twitch,Internet,Senior Data Analyst - Finance & Platform Analytics,128,201,228.5,San Francisco,CA,5000,1001,10,1,0,0,0,0,1,0,0,0,0,0,1,0
machine learning engineer,4.7,New Relic,Computer Hardware & Software,Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),128,201,228.5,Portland,OR,5000,1001,13,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,3.6,Biogen,Biotech & Pharmaceuticals,IT Partner Digital Health Technology and Data Science,128,201,228.5,Cambridge,MA,10000,5001,43,0,1,0,0,0,0,0,0,0,0,0,0,0
machine learning engineer,3.3,Tempus Labs,Biotech & Pharmaceuticals,"Senior Machine Learning Scientist - Bay Area, CA",128,201,228.5,Redwood City,CA,1000,501,6,1,0,0,0,1,0,0,1,1,1,0,1,0
data scientist,3.3,ICW Group,Insurance Carriers,Data Scientist,128,201,228.5,San Diego,CA,1000,501,49,1,0,0,0,0,0,0,0,0,1,0,1,0
data analyst,3.8,NYSTEC,Consulting,Clinical Data Analyst,128,201,228.5,New York,NY,200,51,25,1,0,0,0,0,0,0,1,1,0,0,1,0
data scientist,4.5,E3 Federal Solutions,Consulting,Data Scientist,128,201,228.5,Chantilly,VA,1000,501,17,0,0,1,0,0,0,0,0,0,1,0,0,0
data engineer,4.5,Kingfisher Systems,Federal Agencies,Data Engineer,128,201,228.5,Falls Church,VA,200,51,16,1,0,0,0,0,0,0,0,0,0,0,1,0
data scientist,3.4,Peraton,Aerospace & Defense,Data Scientist Technical Specialist,128,201,228.5,Chantilly,VA,5000,1001,4,1,0,1,1,0,0,0,0,0,1,0,1,0
senior data scientist,3.1,Group O,Staffing & Outsourcing,Senior Data Scientist,128,201,228.5,Chicago,IL,5000,1001,47,1,0,1,0,0,0,0,0,0,1,0,0,1
data science manager,4.0,Autodesk,Computer Hardware & Software,Data Science Manager,128,201,228.5,San Francisco,CA,10000,5001,39,1,1,1,1,0,0,0,0,1,1,0,1,0
data scientist,3.3,Tempus Labs,Biotech & Pharmaceuticals,Computer Vision / Deep Learning Scientist,128,201,228.5,Chicago,IL,1000,501,6,0,0,0,0,1,0,0,0,0,1,0,0,1
data engineer,4.1,CaptiveAire,Industrial Manufacturing,Big Data Engineer,128,201,228.5,Raleigh,NC,5000,1001,45,1,0,0,1,0,0,0,0,0,1,1,1,0
data architect,4.2,LSQ,Investment Banking & Asset Management,Data Architect,128,201,228.5,Orlando,FL,200,51,25,1,0,1,1,1,0,0,0,0,0,0,1,0
machine learning engineer,3.9,Temboo,IT Services,Machine Learning Engineer,128,201,228.5,New York,NY,50,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
data scientist,,Kibo,Unknown,Data Scientist,128,201,228.5,Philadelphia,PA,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0,1,0,0,0
data scientist,3.3,MITRE,Federal Agencies,Aviation AI/ML Data Scientist,128,201,228.5,McLean,VA,10000,5001,63,1,1,1,1,0,1,0,0,0,1,0,0,1
data scientist,3.9,Mars,Food & Beverage Manufacturing,Data Scientist,138,158,217.0,United States,,10000,10000,110,1,0,0,1,1,0,0,0,0,1,0,0,0
data scientist,4.5,"Fullpower Technologies, Inc.",Computer Hardware & Software,Data Scientist / Applied Mathematician,138,158,217.0,Santa Cruz,CA,200,51,18,1,0,0,0,1,0,0,0,1,1,0,1,1
